Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway,traffic_flow,energy_demand
98,A13,'Plon',23.61,2,1,560743764,Plon,POINT (258067.1956737039 355532.6073539986),23556.3884881428,10896.0000005253,9061.7295808126
100,A13,'Nößlach',26.91,2,1,152309579,Nößlach,POINT (259434.8126629056 351963.6051435986),27714.6711516779,11586.8032248947,3428.79100785214
101,A13,'Gries Ost',29.15,0,1,123855799,Raststation Gries Ost,POINT (258913.4334568309 350620.2763320958),29194.2815935318,11601.9977441357,11387.0182714568
105,A13,'Brennerpaß',34.16,0,2,372330817,Raststation Brennerpaß,POINT (261398.2313802385 347012.0909509405),34101.6339834305,11602,788.714642774237
108,A14,'Dornbirn West',15.07,2,1,162980699,P 15,POINT (127756.7854362527 399211.0903360839),15133.7484700079,22722.0167458292,41625.8331312937
110,A14,'Hohenems',24.48,0,2,471547998,Raststation Hohenems,POINT (122706.0052690432 391754.7935536472),24293.5500837741,26481.3173118972,49710.5477038244
112,A14,'Rankweil Ost',33.82,2,1,126431156,Rastplatz Rankweil Ost,POINT (119896.2527222405 383428.929125861),33679.5158796469,21949.8295700582,56639.5419642533
114,A14,'Schlins Ost',46.85,2,1,533414011,Parkplatz Schlins,POINT (123186.3397192963 373426.3435889407),46581.5618348272,13492,22886.8096085797
115,A14,'Nüziders',55.2,2,1,561914333,Parkplatz Nüziders,POINT (130494.4888026466 369934.6432624017),55063.1841326999,13282.1444541878,16978.2300117959
116,A2,'Guntramsdorf',14.43,0,2,324026491,Guntramsdorf,POINT (623926.2221590605 463563.4606787244),14491.7204156085,51867.1748540638,183029.570685775
118,A2,'Leobersdorf',32.08,1,1,100454106,Rastplatz Leobersdorf,POINT (614893.5431762162 449582.8228329953),32135.7863591225,39540,56942.7469960047
119,A2,'Föhrenberg',39.31,0,1,129127252,Raststation Föhrenberg,POINT (613223.0744199788 442733.1441046947),39336.437218506,39539.9821561859,93778.9758869083
122,A2,'Wr. Neustadt',51.18,1,1,397674648,Rastplatz Wr. Neustadt,POINT (614048.492718559 431516.6470027074),51195.1901532537,31158.0000000005,64946.2458086027
124,A2,'Gleissenfeld',61.52,2,1,525643295,P62,POINT (609703.2012774406 423089.1686350378),61617.2720918572,18726,64345.9675839028
125,A2,'Zöbern',78.76,0,2,47027527,Raststation Zöbern,POINT (609495.7543804377 408545.1437660298),78798.1883537131,16223,25909.7669347858
126,A2,'Schäffern Ost',86.7,1,1,93119776,Rastplatz Schäffern,POINT (608424.3012310681 402205.4999509284),86783.6925560141,16223,36516.9873725682
127,A2,'Pinkafeld/Ost',97.98,2,1,207181901,,POINT (607460.4400176294 391994.1421744924),98038.3887813017,14325,21727.4706064822
129,A2,'Loipersdorf',105.5,0,2,192927910,Raststation Loipersdorf,POINT (606100.3011752106 385009.4386134488),105622.148155292,13287,19788.4742563348
130,A2,'St. Johann/Süd',113.05,2,1,525858857,,POINT (605151.7407439483 378454.7138852648),113068.702778734,13287.0004772661,55839.6490520415
133,A2,'Bad Blumau',134.06,1,1,525878304,Rastplatz Bad Blumau,POINT (601190.1843012946 360879.0934509605),134081.5902049,14879,39913.5152205092
,A2,'Ilztal/Nord ',147.5,2,1,525921919,P147,POINT (591060.0354494462 357532.6610605833),147494.291065344,16946.15608833,22142.864532986
134,A2,'Arnwiesen',154.1,0,2,140439861,Raststation Arnwiesen,POINT (584815.6945069765 359017.6639889878),154027.591129845,16966.0005857295,56438.8731957795
136,A2,'Laßnitzhöhe Süd',170.65,1,1,525963521,Rastplatz Laßnitzhöhe-Süd,POINT (570434.7725800843 353988.426142416),170660.52501152,29743,119872.947758941
137,A2,'Kaiserwald',190.77,0,2,192901592,Raststation Kaiserwald,POINT (555990.9359950811 342071.0291058678),190811.98043951,20682.001624263,122041.702619889
139,A2,'Herzogberg Süd',220.19,1,1,526719862,Rastplatz Herzogberg Süd,POINT (533949.5982993604 342448.0308230923),220316.306190243,8120.99999999923,24362.1202495681
140,A2,'Pack',235.21,0,2,207488228,Raststation Pack Preitenegg,POINT (520193.4766166944 341117.7951351135),235315.764538704,8121,11620.3029978581
141,A2,'Twimberg Süd',242.34,2,1,526830759,Rastplatz Twimberg Süd,POINT (515005.5016716613 337735.2206053748),242470.242434196,9189,32127.2478707757
143,A2,'Fischering',259.85,2,1,526850273,Parkplatz Fischering,POINT (512993.8958160395 321704.4453835465),259951.604862521,10919,19551.3376753875
145,A2,'Gönitz/Süd',268.86,2,1,527026753,Parkplatz Gönitz Süd,POINT (510752.8783527016 313736.8358642778),268904.50241513,11607,37377.3933307914
148,A2,'Völkermarkt',285.09,0,2,47029582,Raststätte Völkermarkt,POINT (496555.3319714307 309690.5901621991),285005.731557368,10354,30778.4550570871
150,A2,'Grafenstein Süd',300,1,1,398982040,Grafenstein Süd,POINT (484586.1641730426 305036.4725154719),299868.806242073,13588,64499.0949193352
