ID,segment_id,pois_type,dir,dist_along_segment,demand_0,demand_1,tc_0,tc_1
261,27,ra,0,72993.53756815648,63164.40166673081,,13287.000761843376,
262,27,ra,2,80453.83595296173,19824.868354920225,22286.95371671379,13287.0,14612.0
263,27,ra,1,88033.8072308468,,66545.6899353458,,15628.999999999998
264,27,ra,0,88042.59534869064,21002.647780718355,,14325.0,
265,27,ra,0,99290.1862589441,33870.67865530657,,16222.999999999998,
266,27,ra,2,107271.26953267986,25895.314829999992,72588.70785927735,16223.0,17853.0
267,27,ra,0,124467.3546518694,62866.30591824138,,18726.0,
268,27,ra,1,125208.61829601089,,81184.81955293135,,21168.0
269,27,link,2,128894.5131374644,16580.56217999999,101353.92753812036,18726.0,21168.0
270,28,link,2,0.0,0.0,0.0,33315.99999669111,31770.999996900548
271,28,ra,0,3445.559107155475,22918.87111053232,,32302.51172547379,
272,28,ra,1,7393.845947756988,,7466.978520000018,,26113.26596784088
273,28,ra,0,21968.345718109766,78329.75283880068,,20689.0,
274,28,ra,1,22264.116411144965,,40847.606231210695,,19399.0
275,28,ra,1,35869.22627521233,,53259.61686727602,,7452.000000000776
276,28,ra,0,35908.19597993761,46159.5056026934,,8239.000000000515,
277,28,link,2,40879.27967798362,8191.2961900000055,43503.78900677365,8239.0,7451.999999999999
278,29,link,2,0.0,,,,
279,29,link,2,9651.762941400904,,,,
280,30,link,2,0.0,0.0,0.0,15332.0,15836.0
281,30,ra,0,1882.30501330568,5771.884720000002,,15332.0,
282,30,ra,1,15325.375723611753,,26407.920419206734,,15542.004821001608
283,30,ra,0,15632.211521401772,42847.639671152254,,15550.000309631794,
284,30,link,2,27311.590572612233,24235.22211169135,48943.63350910155,9094.0,9747.0
285,31,link,2,0.0,0.0,0.0,32355.99811982119,31746.900304128078
286,31,ra,1,10173.779430297054,,11870.536859999986,,29897.999995427635
287,31,ra,0,10175.429354581127,63121.75193353649,,30234.999996719118,
288,31,ra,2,22337.148370902334,75213.82669418583,72619.85601634943,31709.999999999804,31485.999999999338
289,31,link,2,24222.213413881993,11954.987099999998,61885.448617764785,31710.000000000004,31486.0
290,32,link,2,0.0,0.0,0.0,12223.0,11811.0
291,32,ra,2,2270.21285318104,5549.730919999999,23190.03675,12223.0,11811.0
292,32,ra,1,28816.08206245099,,76542.26760462648,,17575.0
293,32,link,2,35413.56901786664,102128.70496799276,5362.666440000001,17897.0,17575.0
294,33,link,2,0.0,0.0,0.0,13297.000000000002,12193.0
295,33,ra,2,3582.7432990544444,9527.832380000005,49302.649670733095,13297.0,12193.0
296,33,link,2,22213.611786639452,50763.44663485521,8736.772219999997,13762.0,13672.0
297,34,link,2,0.0,0.0,0.0,40292.0,-1.0
298,34,ra,2,14615.98862167376,94799.74934530277,47098.75936794947,20048.0,20093.0
299,34,ra,1,19958.10768909315,,27717.786187158155,,19649.502128424265
300,34,ra,0,26934.149163868184,47562.38011627652,,19611.549859087514,
301,34,ra,1,27007.404180478257,,21432.939582491847,,19730.97856697019
302,34,link,2,38220.85948462789,45199.210192417355,22808.215733859226,20490.0,22425.0
303,35,link,2,0.0,0.0,0.0,6766.0,6871.0
304,35,ra,0,11501.352666099428,15563.626820000003,,6766.0,
305,35,link,2,35104.46295422166,31939.71491999997,48240.53518999994,6766.0,6871.0
306,36,link,2,0.0,0.0,0.0,31158.0,32434.000000000004
307,36,ra,0,5978.406282256154,37254.99744000003,,31158.0,
308,36,ra,1,6884.764105769136,,25270.302420000007,,32434.0
309,36,link,2,10780.414990255447,29924.143200000017,44659.99630000001,31158.0,32433.999999999996
310,37,link,2,0.0,0.0,0.0,30659.121823392376,29514.53903795356
311,37,ra,0,1531.6015518302704,9393.584221922312,,30697.16124441318,
312,37,link,2,9891.283544490125,54207.471720859096,61945.373683866404,33445.0,32321.0
313,38,link,2,0.0,0.0,0.0,36429.0,37535.0
314,38,ra,1,5385.572941871728,,171992.22898356733,,37535.00000001071
315,38,ra,0,7097.786060466791,52045.84827620422,,39539.98042188887,
316,38,ra,1,14257.714169889845,,71081.47210530774,,40445.0
317,38,ra,0,14300.505499646226,56958.95142497007,,39540.0,
318,38,link,2,31585.43416751235,164935.51096899458,40429.3238500001,51599.00000000001,54431.0
319,39,link,2,0.0,0.0,0.0,12796.999999999995,13839.999999999993
320,39,link,2,17071.72988124704,37765.66680759963,39530.70268315097,10592.0,10938.0
321,40,link,2,0.0,0.0,0.0,12828.299999999996,13121.600000000002
322,40,link,2,13785.599210644326,33434.502029230964,33498.64441307244,11320.466666666665,11033.466666666667
323,41,link,2,0.0,0.0,0.0,31941.000000000004,32321.000000000004
324,41,ra,0,1588.9998004274821,10150.53039,,31941.0,
325,41,ra,0,1588.9998004274821,0.0,,31941.0,
326,41,link,2,19664.682517120145,158820.63921233983,168365.63727568256,52696.99662543454,56631.998039192906
327,42,link,2,0.0,0.0,0.0,34358.0,29965.0
328,42,link,2,974.9930872178355,6699.466420000002,5842.87535,34358.0,29965.0
329,43,link,2,0.0,0.0,0.0,76303.0,74708.0
330,43,ra,2,10005.692091266661,147143.10898649256,5119.230879999999,71283.0,72112.0
331,43,link,2,10360.675542503666,5060.380170000002,146630.79884567633,71283.0,72112.0
332,44,link,2,0.0,0.0,0.0,74263.0,79696.0
333,44,link,2,4390.047146032249,65202.91400000002,69973.08800000003,74263.0,79696.0
