Unnamed__0,nb,highway,position,check_need,geometry,x_coord,on_segment,dist_along_segm
252,520,S36,30377.4435259,0,POINT (504504.3467771087 366595.4931241672),504497.3839499053,20,6897.4798138179285
17,439,A1,118863.213199,0,POINT (507612.1678783915 469838.5989704012),507612.1678786849,16,41490.42276152359
104,551,A2,268544.908896,0,POINT (511045.2935465145 313945.7938556678),511039.7575088278,18,43630.920785710965
192,420,A9,114172.483748,0,POINT (511388.2730441552 389614.0083530651),511388.2730450108,13,114176.8578213718
102,542,A2,259641.759079,0,POINT (513051.9945794008 322010.2011900793),513040.377298319,18,52552.731164292265
101,534,A2,242300.170541,1,POINT (515040.438953115 337900.8074321753),515028.2891390504,18,69851.0626107816
253,514,S36,16973.9923986,0,POINT (515406.1349441415 372754.0871540265),515399.1642293369,20,20303.387592136125
24,983,A1,108149.544956,0,POINT (517282.6972599792 473119.6041959406),517282.6972654003,16,52204.09101544486
100,530,A2,236599.775902,0,POINT (519005.587686746 340635.1357608712),518999.1244079749,18,75532.08545817687
194,426,A9,124462.683008,0,POINT (521420.0568977634 388148.4354457385),521420.056901205,13,124467.05707670317
254,508,S36,1857.44204628,0,POINT (524926.3613895894 382986.2317067593),524923.4355524764,20,35414.07755646769
195,432,A9,131422.082152,0,POINT (526485.5222099433 384388.2692185336),526485.5221799258,13,131426.4562396729
21,977,A1,95921.9797941,0,POINT (528877.3031556783 472529.447642586),528877.3031570743,16,64431.65620378702
201,6086,A9,137404.333733,0,POINT (530337.9646032936 380431.4904996864),530337.9646102214,21,4791.738583577199
265,784,S6,92732.6768214,0,POINT (534645.9367835969 388280.0419087571),534640.3658284924,22,11603.574404070801
15,431,A1,86647.9782429,0,POINT (537161.1369453348 476263.9763112965),537161.1369427266,16,73705.65775970274
267,380,S6,88402.363098,0,POINT (538480.0338072514 390118.6983250825),538473.415697865,22,15937.04287495683
98,395,A2,203201.577945,0,POINT (545440.6813821519 342528.311197377),545427.445802003,18,108948.30875177866
250,453,S35,1000.0,0,POINT (547304.8022216605 390986.6480963307),547295.0892114666,25,674.4461447213824
197,438,A9,160583.403073,0,POINT (549450.8114542878 370181.9103437831),549450.8114829913,21,27970.807915875037
249,364,S35,26410.2812491,0,POINT (550148.567521508 373851.4364143456),550138.076107953,25,26038.400694268614
251,502,S35,18421.4853457,0,POINT (551377.5587653667 379138.4672333909),551372.9004414706,25,18061.97236600519
189,788,A9,166374.845146,0,POINT (551539.4338272283 365143.3923768058),551539.4338204708,26,1287.7763916511137
19,961,A1,68729.7879926,0,POINT (551801.2842315199 479525.9140866773),551801.2842266524,16,91623.84796337638
248,368,S35,34419.6830812,0,POINT (551848.225487796 367471.5940611043),551842.6210144901,25,34063.57698249403
212,618,A9,170817.95881,0,POINT (553069.3279339565 361926.424922576),553069.3278991485,26,5730.890059781981
262,490,S6,68214.8557483,1,POINT (553911.2074616313 398397.4588395808),553907.2526440703,24,10571.681265021058
94,387,A2,191869.172567,0,POINT (555151.0843444504 341375.6568512936),555145.2048316326,18,120267.36770999542
199,444,A9,177643.117135,0,POINT (555374.9706148972 355788.2899777424),555374.9705784817,26,12556.048393178271
131,886,A2,186799.185587,0,POINT (557435.1613482971 345821.23303002),557423.8395480013,18,125346.48074716344
200,446,A9,186310.935572,0,POINT (557964.8068754865 349221.1088251849),557964.8068467708,26,21223.86682516847
207,470,A9,190641.883035,0,POINT (558501.2618038279 345069.0216068337),558501.2618206006,28,1434.0380419026076
261,484,S6,62140.428048,0,POINT (558539.6362950082 402180.5239198846),558531.835156884,24,16651.437753577084
210,350,A9,191456.038763,0,POINT (558935.871883353 344380.6499938799),558935.8718729859,28,2248.1937690994278
127,877,A2,184239.293261,0,POINT (559462.8716043093 347316.4469806956),559456.4433364366,27,1824.5860922770526
198,6070,A9,194324.74221,0,POINT (560486.6794871646 341967.4583101517),560486.6794705798,28,5116.897215594659
122,480,A2,182779.939817,0,POINT (560774.2766905202 347956.7410714169),560767.9760075428,27,3283.9675042329322
193,804,A9,198938.665526,0,POINT (562726.9695126108 337955.5996728526),562726.9695100416,28,9730.820539271474
206,213,A9,204604.383583,0,POINT (564036.565020223 332618.4777018678),564036.5650286581,28,15396.538594341167
196,817,A9,208544.949862,1,POINT (566974.377658063 330009.5827929738),566974.3776687147,28,19337.104873251395
268,478,S6,51754.6747623,0,POINT (567465.5206332925 406532.8737885385),567463.5830696919,24,27029.390320560757
120,858,A2,170001.696454,0,POINT (571061.2861017107 353960.779000261),571066.7604862157,27,16048.37047416636
204,463,A9,219494.117412,0,POINT (572323.2729586419 320832.7797149388),572323.2729632279,28,30286.272429989538
