Unnamed: 0,highway,name,direction,centroid,has_charging_station,cs_below_50kwh,cs_above_50kwh,installed_infrastructure,,44kW,50kW,75kW,150kW,350kW
11,A9,'Treglwang',0,POINT (494384.4414220566 397757.6211567058),,,,0,0,,,,,
12,A9,'Kalwang',0,POINT (504858.7646234921 392793.6916558671),,,,0,0,,,,,
14,A9,'Kammern Süd',2,POINT (518331.4913245914 388591.1482733858),TRUE,6,1,7,5,,4,0,1,0
15,A9,'St. Michael',0,POINT (528393.8191299433 381676.808692028),,,,0,0,,,,,
17,A9,'Ortnerhof Süd’,0,POINT (528960.2473120602 381386.926619308),,,,0,0,,,,,
18,A9,'Hinterlainsach/Ost',0,POINT (531484.5482811976 379123.8925040846),,,,0,0,,,,,
20,A9,'Kleintal',0,POINT (540574.3351737915 373267.2506366365),,,,0,0,,,,,
22,A9,'Übelbach 2',0,POINT (543552.0205580738 371167.7484766453),,,,0,0,,,,,
23,A9,'Deutschfeistritz',2,POINT (550268.1905258861 369200.0667830457),TRUE,6,0,6,4,,4,0,0,0
24,A9,'Eggenfeld',0,POINT (551474.5660784504 362643.2864107855),,,,0,0,,,,,
26,A9,'Premstätten',0,POINT (559542.4347327679 343347.8517675975),,,,0,0,,,,,
28,A9,'Gralla West',0,POINT (568973.1545814445 328308.5763406043),,,,0,0,,,,,
30,A9,'Straß West',0,POINT (576389.1964605602 317271.5331191026),,,,0,0,,,,,
,S1A,'Schwechat',2,POINT (631212.4502089146 473957.708685327),,,,0,0,,,,,
,S1B,'Deutsch Wagram',2,POINT (635980.4823627592 495042.0942373707),,,,0,0,,,,,
244,S16,'Schnann',2,POINT (175736.3196791559 365319.7414454991),TRUE,3,0,3,2,,2,0,0,0
246,S16,'Innerbraz',0,POINT (141663.7117547484 365822.3405278649),TRUE,3,4,7,6,1,2,,0,4
248,S16,'Radin Nord',0,POINT (137801.0744044039 366256.0396979343),,,,0,0,,,,,
252,S31,'Forchtenstein’,0,POINT (627948.3738034245 431165.8576790883),,,,0,0,,,,,
