Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway
176.0,A25,'Pucking',5.97,1,0,532567871,Rastplatz Pucking Nord,POINT (461267.5860737208 476673.0289561879),5862.775535802244
179.0,A25,'Wels',13.06,0,2,311913080,,POINT (455024.5227129348 476999.8729279457),12938.261566351846
180.0,A3,'Hornstein',28.0,0,2,373807312,Raststation Hornstein,POINT (630409.3244350143 446660.2082495076),19180.631953081876
181.0,A4,'Simmering',2.45,0,0,478125158,Raststation Simmering,POINT (631279.0016764031 480453.7891075072),3146.269777173395
182.0,A4,'Fischamend',22.33,1,0,157107389,Rastplatz Fischamend,POINT (647755.8366565057 471376.1000652218),23119.498262266134
184.0,A4,'Göttlesbrunn',28.04,0,2,525427828,Raststation Göttlesbrunn,POINT (651823.8253018593 467339.483749786),28897.0499829454
186.0,A4,'Neusiedl',47.01,2,0,666371707,Rastplatz Neusiedl,POINT (665050.1524660793 458043.7360210589),47732.23439700935
187.0,A4,'Nickelsdorf Süd',64.65,0,0,342598797,Raststation Nickelsdorf Süd,POINT (681173.5546972395 454342.2530852788),65405.13401200047
191.0,A5,'Hochleithen',10.63,0,2,42217069,Raststation Hochleithen,POINT (637914.9142296079 507927.045338552),10075.396251185926
192.0,A6,'Potzneusiedl',10.8,0,2,46158787,Rastplatz Potzneusiedl,POINT (670513.7452634472 465570.2468047387),10738.151284064392
195.0,A7,'Denk',25.76,1,0,189919124,Rastplatz Denk,POINT (483190.2215469718 494858.4157010064),25748.208274960725
196.0,A8,'Voralpenkreuz',0.17,0,2,47030388,Voralpenkreuz,POINT (452344.349495513 463254.9889435243),437.5447159527889
198.0,A8,'Oberham/Nord',18.32,2,0,376844441,Parkplatz Oberham Nord,POINT (445419.2738178434 476722.7469265913),18458.1170448116
200.0,A8,'Kematen/Nord',24.85,2,0,532884392,Parkplatz Kematen Nord,POINT (439261.2969947135 475739.7629321066),24993.186234175173
201.0,A8,'Aistersheim',33.81,0,2,245596053,Raststation Aistersheim,POINT (430758.2100374589 475593.3085917626),33951.014590715524
202.0,A8,'Gotthaming',43.74,2,0,376944495,Parkplatz Gotthaming,POINT (422394.57208572 478857.4341825068),43847.85999116897
,A8,'Grübl/Nord',49.61,2,0,81305333,Grübl Nord,POINT (417653.8197867699 482225.9951059376),49721.18121667339
206.0,A8,'Murau Ost',56.88,1,0,189139728,Rastplatz Murau Ost,POINT (411972.4879913593 486047.9175938376),57052.62416914946
208.0,A8,'Dietrichshofen/Ost',72.06,2,0,892779685,Parkplatz Dietrichshofen/Ost,POINT (406204.3263096366 497523.4572408884),72179.3558586047
1.0,A9,'Maisdorf/West',12.73,2,0,376804457,Parkplatz Maisdorf/West,POINT (457248.6927408883 451296.6961317431),12721.204186725834
2.0,A9,'St. Pankraz',36.36,0,2,312364347,,POINT (463307.6259769649 430843.0978130578),36305.52108016812
