,Autobahn,Standort,Richtung,Art,Fluss,Energiebedarf,pXi_dir,pE_charged_0,pE_input_0,pE_output_0,Fluss_0,Energiebedarf_0,pE_charged_1,pE_input_1,pE_output_1,Fluss_1,Energiebedarf_1,total_number_charging_poles
'Hinterbrühl','A21',26.99,0.0,1.0,21466.1,52849.5,1.0,158.5485,0.0,0.0,21466.1,52849.5,0.0,0.0,0.0,0.0,0.0,1.0
'Korneuburg Ost','A22',18.12,0.0,0.0,31493.9,114134.0,1.0,342.402,0.0,0.0,31493.9,114134.0,0.0,0.0,0.0,0.0,0.0,1.0
'Sinnersdorf/Nord','A25',5.97,0.0,2.0,27000.0,32238.0,0.0,0.0,0.0,96.714,27000.0,32238.0,0.0,0.0,0.0,0.0,0.0,0.0
'Traunau/Nord','A25',9.69,0.0,2.0,27161.9,20208.4,0.0,0.0,96.714,157.3392,27161.9,20208.4,0.0,0.0,0.0,0.0,0.0,0.0
'Zaina','S05',6.3,0.0,2.0,16321.8,20565.4,0.0,0.0,0.0,61.696200000000005,16321.8,20565.4,0.0,0.0,0.0,0.0,0.0,0.0
'Gloggnitz Nord','S06',18.44,0.0,2.0,7830.9,23837.2,-0.0,0.0,25.0722,96.58380000000004,7830.9,23837.2,0.0,0.0,0.0,0.0,0.0,0.0
'Schwöbing Nord','S06',48.55,0.0,0.0,9208.4,46005.1,1.0,258.7026000000001,120.68730000000004,0.0,9208.4,46005.1,0.0,0.0,0.0,0.0,0.0,1.0
'St. Marein','S06',68.99,0.0,0.0,11881.3,48570.8,1.0,145.7124,0.0,0.0,11881.3,48570.8,0.0,0.0,0.0,0.0,0.0,1.0
'Innerbraz','S16',54.99,0.0,0.0,6040.9,43603.4,1.0,27.769892068965504,60.5715,163.61180793103452,6040.9,43603.4,0.0,0.0,0.0,0.0,0.0,1.0
'Radin Nord','S16',59.03,0.0,2.0,6040.9,4881.1,1.0,178.25510793103453,163.61180793103452,0.0,6040.9,4881.1,0.0,0.0,0.0,0.0,0.0,1.0
'Kobersdorf','S31',66.91,0.0,2.0,4911.6,65726.5,1.0,197.1795,0.0,0.0,4911.6,65726.5,0.0,0.0,0.0,0.0,0.0,1.0
'St. Pölten Ost','S33',1.84,0.0,0.0,15171.4,5583.1,0.0,0.0,0.0,16.749300000000005,15171.4,5583.1,0.0,0.0,0.0,0.0,0.0,0.0
'Herzogenburg','S33',15.69,0.0,1.0,15601.6,43216.5,1.0,146.3988,16.749300000000005,0.0,15601.6,43216.5,0.0,0.0,0.0,0.0,0.0,1.0
'Fronleiten West','S35',26.82,0.0,2.0,10041.7,53863.7,1.0,161.59109999999998,0.0,0.0,10041.7,53863.7,0.0,0.0,0.0,0.0,0.0,1.0
'St. Marein Nord','S36',14.89,0.0,0.0,9962.6,29668.7,0.0,0.0,0.0,89.0061,9962.6,29668.7,0.0,0.0,0.0,0.0,0.0,0.0
'Hauswald','S36',35.77,0.0,2.0,9884.9,41279.5,1.0,212.8446,89.0061,0.0,9884.9,41279.5,0.0,0.0,0.0,0.0,0.0,1.0
'Steinhäusl','A01',32.7,2.0,0.0,33516.4,219197.0,1.0,0.0,0.0,0.0,0.0,0.0,657.591,0.0,0.0,33516.4,219197.0,4.0
'Kesselhof','A01',44.88,1.0,1.0,33069.5,80557.2,1.0,0.0,0.0,0.0,0.0,0.0,241.6716,0.0,0.0,33069.5,80557.2,1.0
'St. Pölten','A01',62.9,2.0,0.0,31268.6,112692.0,1.0,0.0,0.0,0.0,0.0,0.0,338.076,0.0,0.0,31268.6,112692.0,2.0
