highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,pXi
A2,'Loipersdorf',105.5,2.0,0.0,27899.0,14612.0,13287.0,154018.46142676251,78390.34012413416,75628.12130262834,0.0,0.0,0.0,0.0,1584.5225020396251,-1584.5225020396251,-6102.700394702855,1482.9818535081572,-7585.682248211013,-5255.598856855661,329.60622215126995,-5585.205079006932,0
A2,'Hainersdorf',133.87,0.0,1.0,16034.999999999998,16034.999999999998,0.0,90554.39668407534,90554.39668407534,0.0,100000.0,100000.0,0.0,100000000.0,100000000.0,0.0,329.60622215126995,329.60622215126995,0.0,-99999172.34459609,-99999172.34459609,0.0,1
A2,'Bad Blumau',134.06,1.0,1.0,14879.0,0.0,14879.0,59355.30955245131,0.0,59355.30955245131,0.0,0.0,0.0,-1.1368683772161603e-13,0.0,-1.1368683772161603e-13,-7912.1364507494945,0.0,-7912.1364507494945,-7585.682248211013,0.0,-7585.682248211013,0
A2,'Arnwiesen',154.1,2.0,0.0,36495.0010822289,19529.0004964994,16966.000585729496,135214.80430038154,78775.931104602,56438.87319577954,0.0,0.0,0.0,0.0,762.8738432265809,-762.8738432265809,-100008157.76869264,-99999172.34459609,-8985.424096552862,-100007414.087269,-99999501.95081824,-7912.1364507494945,0
A2,'Laßnitzhöhe Nord',170.16,0.0,1.0,27470.0,27470.0,0.0,89210.41764080411,89210.41764080411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999501.95081824,-99999501.95081824,0.0,-99999011.29352121,-99999011.29352121,0.0,0
A2,'Laßnitzhöhe Süd',170.65,1.0,1.0,29743.0,0.0,29743.0,119872.94775894134,0.0,119872.94775894134,0.0,0.0,0.0,0.0,0.0,0.0,-9644.72530922704,0.0,-9644.72530922704,-8985.424096552862,0.0,-8985.424096552862,0
A2,'Kaiserwald',190.77,2.0,0.0,42649.00410506857,21967.00248080555,20682.001624263023,212311.14271654858,90269.44009665956,122041.70261988904,0.0,0.0,0.0,-5.684341886080802e-14,496.4819205316275,-496.48192053162757,-100009823.73011538,-99999011.29352121,-10812.436594168057,-100008656.01883043,-99999011.29352121,-9644.72530922704,0
A2,'Herzogberg Nord',220.13,0.0,1.0,8807.00000002098,8807.00000002098,0.0,51848.951152018446,51848.951152018446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999011.29352121,-99999011.29352121,0.0,-99998726.12428987,-99998726.12428987,0.0,0
A2,'Herzogberg Süd',220.19,1.0,1.0,8120.999999999229,0.0,8120.999999999229,24362.120249568077,0.0,24362.120249568077,0.0,0.0,0.0,0.0,0.0,0.0,-10946.42825554068,0.0,-10946.42825554068,-10812.436594168057,0.0,-10812.436594168057,0
A2,'Pack',235.21,2.0,0.0,16928.0,8807.0,8120.999999999999,107246.45859213948,26540.01416042541,80706.44443171406,0.0,0.0,0.0,-2.2737367544323206e-13,431.1393092184412,-431.13930921844144,-100010547.577299,-99998726.12428987,-11821.45300913355,-100009957.72177675,-99999011.29352121,-10946.42825554068,0
A2,'Völkermarkt',285.09,2.0,0.0,21133.0,10779.0,10354.0,137900.08595592296,107121.63089883584,30778.45505708712,-99984.0,0.0,-99984.0,-99984000.0,589.1689699435971,-99984589.16896994,-199995591.1970031,-99999011.29352121,-99996579.90348189,-100010832.74653034,-99999011.29352121,-11821.45300913355,0
A2,'Grafenstein Süd',300.0,1.0,1.0,13587.999999999998,0.0,13587.999999999998,81445.24169896843,0.0,81445.24169896843,0.0,0.0,0.0,5.684341886080802e-14,0.0,5.684341886080802e-14,-99997027.85231124,0.0,-99997027.85231124,-99996579.90348189,0.0,-99996579.90348189,0
A2,'Grafenstein Nord',300.0,0.0,1.0,13362.0,13362.0,0.0,39644.441582321415,39644.441582321415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999011.29352121,-99999011.29352121,0.0,-99998793.2490925,-99998793.2490925,0.0,0
A2,'Wörthersee',340.13,2.0,0.0,38076.99999701492,19452.999998289542,18623.999998725383,149916.98024786788,116709.63960631324,33207.340641554634,0.0,0.0,0.0,1.4901161193847656e-08,1.4901161193847656e-08,0.0,-199996003.74177727,-99998793.2490925,-99997210.49268477,-199995179.19838592,-99998151.34607469,-99997027.85231124,0
